direction,records,records_loosened,records_tightened,published_name,gbif_species,old_taxon_id,old_taicol_id,old_scientific_name,old_common_name_zh,new_taxon_id,new_taicol_id,new_scientific_name,new_common_name_zh,precision_before,precision_after,resolved_via,note
unresolved,7,0,0,"Gallinago Brisson, 1760",,,,,,,,,,coarse_10km 7,coarse_10km 7,,not identified to species
unresolved,7,0,0,"Otus Pennant, 1769",,,,,,,,,,coarse_10km 7,coarse_10km 7,,not identified to species
unresolved,6,0,0,Procellariidae,,,,,,,,,,coarse_10km 6,coarse_10km 6,,not identified to species
unresolved,6,0,0,"Bufo Garsault, 1764",,,,,,,,,,coarse_10km 6,coarse_10km 6,,not identified to species
unresolved,6,0,0,Turnicidae,,,,,,,,,,coarse_10km 6,coarse_10km 6,,not identified to species
unresolved,6,0,0,"Eutropis Fitzinger, 1843",,,,,,,,,,coarse_10km 6,coarse_10km 6,,not identified to species
unresolved,5,0,0,"Amphiesma Duméril & Bibron, 1854",,,,,,,,,,coarse_10km 5,coarse_10km 5,,not identified to species
unresolved,5,0,0,"Buergeria Tschudi, 1838",,,,,,,,,,coarse_10km 5,coarse_10km 5,,not identified to species
unresolved,5,0,0,Charadriidae,,,,,,,,,,coarse_10km 5,coarse_10km 5,,not identified to species
unresolved,5,0,0,Motacillidae,,,,,,,,,,coarse_10km 5,coarse_10km 5,,not identified to species
unresolved,5,0,0,Cisticolidae,,,,,,,,,,coarse_10km 5,coarse_10km 5,,not identified to species
unresolved,5,0,0,Cuculidae,,,,,,,,,,coarse_10km 5,coarse_10km 5,,not identified to species
unresolved,4,0,0,Lacertidae,,,,,,,,,,coarse_10km 4,coarse_10km 4,,not identified to species
unresolved,4,0,0,Rodentia,,,,,,,,,,coarse_10km 4,coarse_10km 4,,not identified to species
unresolved,4,0,0,"Sinomicrurus Slowinski, Boundy & Lawson, 2001",,,,,,,,,,coarse_10km 4,coarse_10km 4,,not identified to species
unresolved,4,0,0,Phasianidae,,,,,,,,,,coarse_10km 4,coarse_10km 4,,not identified to species
unresolved,4,0,0,Timaliidae,,,,,,,,,,coarse_10km 4,coarse_10km 4,,not identified to species
unresolved,4,0,0,"Murina Gray, 1842",,,,,,,,,,coarse_10km 4,coarse_10km 4,,not identified to species
unresolved,3,0,0,Accipitridae,,,,,,,,,,coarse_10km 3,coarse_10km 3,,not identified to species
unresolved,3,0,0,Artiodactyla,,,,,,,,,,coarse_10km 3,coarse_10km 3,,not identified to species
unresolved,3,0,0,Passeridae,,,,,,,,,,coarse_10km 3,coarse_10km 3,,not identified to species
unresolved,3,0,0,"Caprimulgus Linnaeus, 1758",,,,,,,,,,coarse_10km 3,coarse_10km 3,,not identified to species
unresolved,3,0,0,"Mus Linnaeus, 1758",,,,,,,,,,coarse_10km 3,coarse_10km 3,,not identified to species
unresolved,3,0,0,Geoemydidae,,,,,,,,,,coarse_10km 3,coarse_10km 3,,not identified to species
